GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US250250203031,250250203031,"Block Group 1, Census Tract 203.03, Suffolk County, Massachusetts",72332,20375
1500000US250250203032,250250203032,"Block Group 2, Census Tract 203.03, Suffolk County, Massachusetts",31514,9874
1500000US250250203033,250250203033,"Block Group 3, Census Tract 203.03, Suffolk County, Massachusetts",59564,15598
1500000US250250301001,250250301001,"Block Group 1, Census Tract 301, Suffolk County, Massachusetts",67546,11973
1500000US250250301002,250250301002,"Block Group 2, Census Tract 301, Suffolk County, Massachusetts",47622,8337
1500000US250250302001,250250302001,"Block Group 1, Census Tract 302, Suffolk County, Massachusetts",56039,9318
1500000US250250303001,250250303001,"Block Group 1, Census Tract 303, Suffolk County, Massachusetts",125356,26575
1500000US250250303002,250250303002,"Block Group 2, Census Tract 303, Suffolk County, Massachusetts",43379,13301
1500000US250250303003,250250303003,"Block Group 3, Census Tract 303, Suffolk County, Massachusetts",36248,8734
1500000US250250303004,250250303004,"Block Group 4, Census Tract 303, Suffolk County, Massachusetts",124979,60986
1500000US250250304001,250250304001,"Block Group 1, Census Tract 304, Suffolk County, Massachusetts",57673,10649
1500000US250250304002,250250304002,"Block Group 2, Census Tract 304, Suffolk County, Massachusetts",55872,7736
1500000US250250305001,250250305001,"Block Group 1, Census Tract 305, Suffolk County, Massachusetts",140383,51803
1500000US250250305002,250250305002,"Block Group 2, Census Tract 305, Suffolk County, Massachusetts",98979,25542
1500000US250250305003,250250305003,"Block Group 3, Census Tract 305, Suffolk County, Massachusetts",61006,14101
1500000US250250401001,250250401001,"Block Group 1, Census Tract 401, Suffolk County, Massachusetts",68318,13204
1500000US250250401002,250250401002,"Block Group 2, Census Tract 401, Suffolk County, Massachusetts",79276,11260
1500000US250250402001,250250402001,"Block Group 1, Census Tract 402, Suffolk County, Massachusetts",10041,3164
1500000US250250402002,250250402002,"Block Group 2, Census Tract 402, Suffolk County, Massachusetts",62893,9045
1500000US250250403001,250250403001,"Block Group 1, Census Tract 403, Suffolk County, Massachusetts",9579,6414
1500000US250250403002,250250403002,"Block Group 2, Census Tract 403, Suffolk County, Massachusetts",103365,31229
1500000US250250403003,250250403003,"Block Group 3, Census Tract 403, Suffolk County, Massachusetts",67871,11042
1500000US250250403004,250250403004,"Block Group 4, Census Tract 403, Suffolk County, Massachusetts",63351,26758
1500000US250250403005,250250403005,"Block Group 5, Census Tract 403, Suffolk County, Massachusetts",86344,26519
1500000US250250404011,250250404011,"Block Group 1, Census Tract 404.01, Suffolk County, Massachusetts",42631,12169
1500000US250250404012,250250404012,"Block Group 2, Census Tract 404.01, Suffolk County, Massachusetts",79425,21122
1500000US250250406001,250250406001,"Block Group 1, Census Tract 406, Suffolk County, Massachusetts",53234,10943
1500000US250250406002,250250406002,"Block Group 2, Census Tract 406, Suffolk County, Massachusetts",72354,9185
1500000US250250408011,250250408011,"Block Group 1, Census Tract 408.01, Suffolk County, Massachusetts",11362,3501
1500000US250250408012,250250408012,"Block Group 2, Census Tract 408.01, Suffolk County, Massachusetts",8324,2083
1500000US250250408013,250250408013,"Block Group 3, Census Tract 408.01, Suffolk County, Massachusetts",106763,16311
1500000US250250501011,250250501011,"Block Group 1, Census Tract 501.01, Suffolk County, Massachusetts",18888,4688
1500000US250250501012,250250501012,"Block Group 2, Census Tract 501.01, Suffolk County, Massachusetts",15175,4813
1500000US250250501013,250250501013,"Block Group 3, Census Tract 501.01, Suffolk County, Massachusetts",30170,6072
1500000US250250502001,250250502001,"Block Group 1, Census Tract 502, Suffolk County, Massachusetts",21044,3598
1500000US250250502002,250250502002,"Block Group 2, Census Tract 502, Suffolk County, Massachusetts",31363,8022
